denylist_tier,openalex_id,s2_id,arxiv_id,doi,title,year,venue,domain,sources
1hop_referenced,https://openalex.org/W3104299286,,,https://doi.org/10.1371/journal.pgen.1009049,Genotype imputation using the Positional Burrows Wheeler Transform,2020,PLoS Genetics,,
1hop_referenced,https://openalex.org/W3118485687,,,,,,,,
1hop_referenced,https://openalex.org/W3127238141,,,https://doi.org/10.1093/bioinformatics/btab083,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,2021,Bioinformatics,,
1hop_referenced,https://openalex.org/W3130819465,,,https://doi.org/10.1038/s41588-021-00782-6,Base-resolution models of transcription-factor binding reveal soft motif syntax,2021,Nature Genetics,,
1hop_referenced,https://openalex.org/W3133363356,,,https://doi.org/10.1038/s41596-020-00478-x,Tracing DNA paths and RNA profiles in cultured cells and tissues with ORCA,2021,Nature Protocols,,
1hop_referenced,https://openalex.org/W3133859624,,,https://doi.org/10.1126/science.aaz1776,The GTEx Consortium atlas of genetic regulatory effects across human tissues,2020,Science,,
1hop_referenced,https://openalex.org/W3135625811,,,https://doi.org/10.1186/s12859-021-04034-6,PnB Designer: a web application to design prime and base editor guide RNAs for animals and plants,2021,BMC Bioinformatics,,
1hop_referenced,https://openalex.org/W3146944767,,,https://doi.org/10.1073/pnas.2016239118,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,2021,Proceedings of the National Academy of Sciences,,
1hop_referenced,https://openalex.org/W3155806510,,,https://doi.org/10.48550/arxiv.2104.09864,RoFormer: Enhanced Transformer with Rotary Position Embedding,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3177828909,,,https://doi.org/10.1038/s41586-021-03819-2,Highly accurate protein structure prediction with AlphaFold,2021,Nature,,
1hop_referenced,https://openalex.org/W3197364483,,,https://doi.org/10.1038/s41588-021-00913-z,Large-scale cis- and trans-eQTL analyses identify thousands of genetic loci and polygenic scores that regulate blood gene expression,2021,Nature Genetics,,
1hop_referenced,https://openalex.org/W3203588026,,,https://doi.org/10.1038/s41592-021-01252-x,Effective gene expression prediction from sequence by integrating long-range interactions,2021,Nature Methods,,
1hop_referenced,https://openalex.org/W4225438928,,,https://doi.org/10.1038/s41598-021-03431-4,Protein embeddings and deep learning predict binding residues for various ligand classes,2021,Scientific Reports,,
1hop_referenced,https://openalex.org/W4225591000,,,https://doi.org/10.48550/arxiv.2203.15556,Training Compute-Optimal Large Language Models,2022,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W4225868104,,,https://doi.org/10.1007/s00439-021-02411-y,Embeddings from protein language models predict conservation and variant effects,2021,Human Genetics,,
1hop_referenced,https://openalex.org/W4229079441,,,https://doi.org/10.1016/j.bpc.2022.106822,A deep learning framework for enhancer prediction using word embedding and sequence generation,2022,Biophysical Chemistry,,
1hop_referenced,https://openalex.org/W4242765109,,,https://doi.org/10.1093/bioadv/vbab035,Light attention predicts protein location from the language of life,2021,Bioinformatics Advances,,
1hop_referenced,https://openalex.org/W4280534475,,,https://doi.org/10.48550/arxiv.2205.05638,Few-Shot Parameter-Efficient Fine-Tuning is Better and Cheaper than In-Context Learning,2022,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W4280563114,,,https://doi.org/10.1038/s41588-022-01048-5,DeepSTARR predicts enhancer activity from DNA sequence and enables the de novo design of synthetic enhancers,2022,Nature Genetics,,
1hop_referenced,https://openalex.org/W4285006295,,,https://doi.org/10.1038/s41588-022-01102-2,A sequence-based global map of regulatory activity for deciphering human genetics,2022,Nature Genetics,,
1hop_referenced,https://openalex.org/W4292767338,,,https://doi.org/10.1101/2022.08.22.504706,DNA language models are powerful predictors of genome-wide variant effects,2022,bioRxiv (Cold Spring Harbor Laboratory),,
1hop_referenced,https://openalex.org/W4294012180,,,https://doi.org/10.1016/j.cell.2022.08.004,High-coverage whole-genome sequencing of the expanded 1000 Genomes Project cohort including 602 trios,2022,Cell,,
1hop_referenced,https://openalex.org/W4304607335,,,https://doi.org/10.1101/2022.10.10.511571,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics,2022,bioRxiv (Cold Spring Harbor Laboratory),,
1hop_referenced,https://openalex.org/W4311948686,,,https://doi.org/10.1101/2022.12.15.519894,Codon language embeddings provide strong signals for protein engineering,2022,bioRxiv (Cold Spring Harbor Laboratory),,
1hop_referenced,https://openalex.org/W4380488316,,,https://doi.org/10.1101/2023.06.12.544594,GENA-LM: A Family of Open-Source Foundational DNA Language Models for Long Sequences,2023,bioRxiv (Cold Spring Harbor Laboratory),,
1hop_referenced,https://openalex.org/W4382490702,,,https://doi.org/10.48550/arxiv.2306.15006,DNABERT-2: Efficient Foundation Model and Benchmark For Multi-Species Genome,2023,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W4382603228,,,https://doi.org/10.48550/arxiv.2306.15794,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,2023,arXiv (Cornell University),,
